date_key,year,month,day,day_of_week,is_weekend,is_holiday,holiday_name
3dfceb9d-1d08-4c00-a196-b6116e607304,2018,10,4,Thursday,False,False,
7522a3dd-e30d-486e-91e8-62eb3513ffa0,2018,10,11,Thursday,False,False,
0242825d-8c2e-4d83-8dcd-ee92ef43fb62,2018,10,10,Wednesday,False,False,
a4ec2940-fdab-451c-8418-ec3d6d59863e,2018,10,2,Tuesday,False,False,
a238bac6-a972-4f1f-9b46-a6eaf17134a0,2019,10,5,Saturday,True,False,
f8297f22-caa3-4ed3-ac69-d7a026afeeab,2019,10,6,Sunday,True,False,
3f60cde9-c1c9-4c7a-843d-900cd5a99763,2019,10,14,Monday,False,True,Columbus Day
5b1017c0-ac7f-441f-9df2-4c710ac4df8e,2019,10,28,Monday,False,False,
f2ea86ea-788e-45e4-9389-1ca5ae80afcd,2019,10,27,Sunday,True,False,
6893b17d-8256-4d33-b4d4-4cb8a791964f,2019,10,23,Wednesday,False,False,
91671572-3b3f-4ca5-b2ca-f9df629f0d53,2019,11,9,Saturday,True,False,
5361c08d-c1bd-47f9-bf73-c24d367d3f53,2019,11,8,Friday,False,False,
df5fdcfd-a81d-4cb4-9719-938592519bfc,2019,10,22,Tuesday,False,False,
b510c30c-8667-48b3-b258-7264e71bd643,2019,10,24,Thursday,False,False,
3fa60683-0a9a-47b0-9750-bc3969381171,2019,11,17,Sunday,True,False,
ee4d07ee-d2d8-4f62-a23c-b17ef5171779,2019,11,26,Tuesday,False,False,
