date_key,year,month,day,day_of_week,is_weekend,is_american_holiday,american_holiday_name,is_canadian_holiday,canadian_holiday_name
df166ea9-5d70-4fd7-8510-dd7d1f393d6c,2016,8,27,Saturday,True,False,,False,
5a64b215-c166-4a17-837c-c1eb25773b38,2017,7,30,Sunday,True,False,,False,
c04533b8-335b-47e7-a7e0-44094b460245,2018,1,21,Sunday,True,False,,False,
ccc7488b-ab08-4be8-b95d-b29b07907d70,2017,6,23,Friday,False,False,,False,
12da3b29-fc38-41b9-81ee-28c5053c90f7,2016,8,3,Wednesday,False,False,,False,
a57abc12-16bb-4a83-8ce7-2459fec8c0d8,2017,6,11,Sunday,True,False,,False,
852f9494-6c0d-4c5f-afb4-924dff3714fa,2017,4,9,Sunday,True,False,,False,
f88e3c34-f724-4026-8385-83299aec8d63,2016,5,24,Tuesday,False,False,,False,
5184b887-3c6e-43af-8566-866e888ad154,2017,4,7,Friday,False,False,,False,
534d561f-908b-4816-b1b0-a93a3dc261cd,2016,5,22,Sunday,True,False,,False,
54d321a8-c522-45f7-84a8-11f721d535ee,2017,12,20,Wednesday,False,False,,False,
e20bf3b8-207c-4ce6-a8c8-0c8995bbe5ff,2017,7,3,Monday,False,False,,True,Canada Day (Observed)
af30370a-8171-455e-a617-18d97d314006,2017,3,12,Sunday,True,False,,False,
485e06f3-6837-4e0e-b97e-6cf8c97edeed,2017,3,31,Friday,False,False,,False,
8ac4849f-2b63-42d8-9b44-269fb5df809d,2017,9,26,Tuesday,False,False,,False,
b03a58a5-6c6a-4690-87a7-32b0ea5f36da,2017,12,15,Friday,False,False,,False,
64596315-e2a4-4f12-af4c-80400a5c6b2f,2017,5,3,Wednesday,False,False,,False,
6baed1e6-5370-40a0-b8d4-797b7b6acf92,2017,3,19,Sunday,True,False,,False,
72904813-bb2c-4b64-91d2-07558a4410b8,2017,6,14,Wednesday,False,False,,False,
122c5008-311e-4b9e-86cf-359d1bdf0309,2017,7,8,Saturday,True,False,,False,
