date_key,year,month,day,day_of_week,is_weekend,is_holiday,holiday_name
2fcd0721-fb59-43aa-8e0d-11b89a13a157,2015,6,27,Saturday,True,False,
274d8442-7ba8-4e6c-9d6e-51bb5beee670,2017,11,6,Monday,False,False,
ba4033ef-299b-4de3-9f58-1528f150d974,2015,8,27,Thursday,False,False,
d6d0e850-9033-414b-bcd2-41ede2f9940e,2015,10,5,Monday,False,False,
82c3fa0c-0935-497f-81ed-04abfaeaa08d,2016,10,27,Thursday,False,False,
01c3a427-c24b-4be5-9623-ec1212423fd6,2019,10,31,Thursday,False,False,
a7b77bad-c163-483b-9d2c-d28d06b169e1,2019,7,28,Sunday,True,False,
a2d80a0e-059b-43de-a2aa-cefc1816fd25,2015,5,27,Wednesday,False,False,
c0818b72-73be-494e-bd3a-cc4ed230c5f8,2019,10,15,Tuesday,False,False,
7aa36407-a701-49f7-97d6-612858259f4b,2019,6,13,Thursday,False,False,
3d5d9a28-b298-4c8b-9116-c5c64324d51d,2015,9,28,Monday,False,False,
d397db98-3f74-41f1-b6ee-0809d8ada770,2017,6,21,Wednesday,False,False,
f9c11b31-75f5-4a4f-9abd-db4a9c198198,2015,7,31,Friday,False,False,
aa633265-5e8a-45d5-a4cc-353a82a94416,2015,10,12,Monday,False,True,Thanksgiving
c1bbfa79-11ef-4b64-b623-f493f625f296,2016,7,26,Tuesday,False,False,
cedc4175-08a6-4398-86ef-e398eb7e7a04,2017,10,14,Saturday,True,False,
31dd964e-2380-44b1-b64f-ba62abfb691e,2019,6,25,Tuesday,False,False,
fa899f0c-2ecc-4da3-bb53-b06d42c818ed,2016,7,8,Friday,False,False,
7f4b2126-38c8-4213-99d1-94430655a9c7,2016,10,2,Sunday,True,False,
e333c630-0304-4c64-878f-b78d1702d7eb,2018,4,4,Wednesday,False,False,
f7b7445d-b51a-4db4-9605-85d7566ac634,2015,1,24,Saturday,True,False,
87452c11-d6b2-4c8b-b29f-a63a037ea5f6,2015,7,8,Wednesday,False,False,
6beeefef-8396-4451-9706-e10ec0da0f53,2019,6,1,Saturday,True,False,
44e21505-1d58-44d6-b215-1e4458125b78,2019,5,20,Monday,False,True,Victoria Day
9eb72060-0b59-4316-a256-694368a4ac31,2015,3,22,Sunday,True,False,
26063325-50a0-48c8-ab28-93da8cb939d0,2017,3,22,Wednesday,False,False,
233745ea-701d-4d6b-ac2d-50025cace1d8,2017,2,28,Tuesday,False,False,
37d80d80-7e84-4510-abe6-c54414463bf3,2017,11,21,Tuesday,False,False,
2e0732df-a3c5-40c7-8913-be7b4786c5ee,2019,10,3,Thursday,False,False,
26642865-9622-491d-a025-edf6001de1a4,2015,8,28,Friday,False,False,
0075b9b1-50d7-4882-b798-205f5b94ba8a,2019,2,13,Wednesday,False,False,
4d53749f-28d6-455a-a2e9-d29842e82ab9,2015,10,2,Friday,False,False,
3b9a9739-c801-460b-8aa0-92a94792447d,2016,5,21,Saturday,True,False,
0cb99cf4-a40a-4753-9f83-cc8be8a1f953,2019,2,14,Thursday,False,False,
cc4a291b-6297-4f82-8552-b992346051ab,2019,5,6,Monday,False,False,
c9796a82-c15c-478a-8744-996cd5cb70bf,2019,3,3,Sunday,True,False,
b7dff7a9-a548-41e4-a9a3-b6b9ca5bdd84,2016,3,26,Saturday,True,False,
